"Notes"	"Single-Year Ages"	"Single-Year Ages Code"	"Year"	"Year Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate
	"1 year"	"1"	"2003"	"2003"	"Female"	"F"	5	1926719	Unreliable
	"1 year"	"1"	"2003"	"2003"	"Male"	"M"	11	2009420	Unreliable
"Total"	"1 year"	"1"	"2003"	"2003"			16	3936139	Unreliable
	"1 year"	"1"	"2004"	"2004"	"Female"	"F"	6	1932894	Unreliable
	"1 year"	"1"	"2004"	"2004"	"Male"	"M"	7	2020169	Unreliable
"Total"	"1 year"	"1"	"2004"	"2004"			13	3953063	Unreliable
	"1 year"	"1"	"2005"	"2005"	"Female"	"F"	3	1950494	Unreliable
	"1 year"	"1"	"2005"	"2005"	"Male"	"M"	10	2036538	Unreliable
"Total"	"1 year"	"1"	"2005"	"2005"			13	3987032	Unreliable
	"1 year"	"1"	"2006"	"2006"	"Female"	"F"	7	1942541	Unreliable
	"1 year"	"1"	"2006"	"2006"	"Male"	"M"	6	2029583	Unreliable
"Total"	"1 year"	"1"	"2006"	"2006"			13	3972124	Unreliable
	"1 year"	"1"	"2007"	"2007"	"Female"	"F"	13	1958096	Unreliable
	"1 year"	"1"	"2007"	"2007"	"Male"	"M"	11	2044119	Unreliable
"Total"	"1 year"	"1"	"2007"	"2007"			24	4002215	0.6
	"1 year"	"1"	"2008"	"2008"	"Female"	"F"	15	2005602	Unreliable
	"1 year"	"1"	"2008"	"2008"	"Male"	"M"	13	2095154	Unreliable
"Total"	"1 year"	"1"	"2008"	"2008"			28	4100756	0.7
	"1 year"	"1"	"2009"	"2009"	"Female"	"F"	7	1997919	Unreliable
	"1 year"	"1"	"2009"	"2009"	"Male"	"M"	11	2080878	Unreliable
"Total"	"1 year"	"1"	"2009"	"2009"			18	4078797	Unreliable
	"1 year"	"1"	"2010"	"2010"	"Female"	"F"	6	1947217	Unreliable
	"1 year"	"1"	"2010"	"2010"	"Male"	"M"	15	2030853	Unreliable
"Total"	"1 year"	"1"	"2010"	"2010"			21	3978070	0.5
	"1 year"	"1"	"2011"	"2011"	"Female"	"F"	7	1941933	Unreliable
	"1 year"	"1"	"2011"	"2011"	"Male"	"M"	12	2027089	Unreliable
"Total"	"1 year"	"1"	"2011"	"2011"			19	3969022	Unreliable
	"1 year"	"1"	"2012"	"2012"	"Female"	"F"	8	1946097	Unreliable
	"1 year"	"1"	"2012"	"2012"	"Male"	"M"	14	2035426	Unreliable
"Total"	"1 year"	"1"	"2012"	"2012"			22	3981523	0.6
	"1 year"	"1"	"2013"	"2013"	"Female"	"F"	9	1933929	Unreliable
	"1 year"	"1"	"2013"	"2013"	"Male"	"M"	14	2022013	Unreliable
"Total"	"1 year"	"1"	"2013"	"2013"			23	3955942	0.6
	"1 year"	"1"	"2014"	"2014"	"Female"	"F"	12	1938870	Unreliable
	"1 year"	"1"	"2014"	"2014"	"Male"	"M"	7	2023253	Unreliable
"Total"	"1 year"	"1"	"2014"	"2014"			19	3962123	Unreliable
	"1 year"	"1"	"2015"	"2015"	"Female"	"F"	16	1939269	Unreliable
	"1 year"	"1"	"2015"	"2015"	"Male"	"M"	11	2029295	Unreliable
"Total"	"1 year"	"1"	"2015"	"2015"			27	3968564	0.7
	"1 year"	"1"	"2016"	"2016"	"Female"	"F"	9	1953850	Unreliable
	"1 year"	"1"	"2016"	"2016"	"Male"	"M"	16	2041158	Unreliable
"Total"	"1 year"	"1"	"2016"	"2016"			25	3995008	0.6
	"1 year"	"1"	"2017"	"2017"	"Female"	"F"	9	1943534	Unreliable
	"1 year"	"1"	"2017"	"2017"	"Male"	"M"	13	2031718	Unreliable
"Total"	"1 year"	"1"	"2017"	"2017"			22	3975252	0.6
	"1 year"	"1"	"2018"	"2018"	"Female"	"F"	6	1911513	Unreliable
	"1 year"	"1"	"2018"	"2018"	"Male"	"M"	10	2001387	Unreliable
"Total"	"1 year"	"1"	"2018"	"2018"			16	3912900	Unreliable
	"1 year"	"1"	"2019"	"2019"	"Female"	"F"	16	1871014	Unreliable
	"1 year"	"1"	"2019"	"2019"	"Male"	"M"	16	1958585	Unreliable
"Total"	"1 year"	"1"	"2019"	"2019"			32	3829599	0.8
"Total"	"1 year"	"1"					390	83023880	0.5
	"2 years"	"2"	"1999"	"1999"	"Female"	"F"	2	1849556	Unreliable
	"2 years"	"2"	"1999"	"1999"	"Male"	"M"	3	1933079	Unreliable
"Total"	"2 years"	"2"	"1999"	"1999"			5	3782635	Unreliable
	"2 years"	"2"	"2000"	"2000"	"Female"	"F"	0	1851456	Unreliable
	"2 years"	"2"	"2000"	"2000"	"Male"	"M"	3	1938990	Unreliable
"Total"	"2 years"	"2"	"2000"	"2000"			3	3790446	Unreliable
	"2 years"	"2"	"2001"	"2001"	"Female"	"F"	1	1857181	Unreliable
	"2 years"	"2"	"2001"	"2001"	"Male"	"M"	8	1942915	Unreliable
"Total"	"2 years"	"2"	"2001"	"2001"			9	3800096	Unreliable
	"2 years"	"2"	"2002"	"2002"	"Female"	"F"	3	1883190	Unreliable
	"2 years"	"2"	"2002"	"2002"	"Male"	"M"	1	1972924	Unreliable
"Total"	"2 years"	"2"	"2002"	"2002"			4	3856114	Unreliable
	"2 years"	"2"	"2003"	"2003"	"Female"	"F"	5	1959311	Unreliable
	"2 years"	"2"	"2003"	"2003"	"Male"	"M"	6	2043525	Unreliable
"Total"	"2 years"	"2"	"2003"	"2003"			11	4002836	Unreliable
	"2 years"	"2"	"2004"	"2004"	"Female"	"F"	1	1925324	Unreliable
	"2 years"	"2"	"2004"	"2004"	"Male"	"M"	5	2008411	Unreliable
"Total"	"2 years"	"2"	"2004"	"2004"			6	3933735	Unreliable
	"2 years"	"2"	"2005"	"2005"	"Female"	"F"	3	1932337	Unreliable
	"2 years"	"2"	"2005"	"2005"	"Male"	"M"	7	2020295	Unreliable
"Total"	"2 years"	"2"	"2005"	"2005"			10	3952632	Unreliable
	"2 years"	"2"	"2006"	"2006"	"Female"	"F"	5	1950420	Unreliable
	"2 years"	"2"	"2006"	"2006"	"Male"	"M"	7	2037699	Unreliable
"Total"	"2 years"	"2"	"2006"	"2006"			12	3988119	Unreliable
	"2 years"	"2"	"2007"	"2007"	"Female"	"F"	7	1942309	Unreliable
	"2 years"	"2"	"2007"	"2007"	"Male"	"M"	4	2031170	Unreliable
"Total"	"2 years"	"2"	"2007"	"2007"			11	3973479	Unreliable
	"2 years"	"2"	"2008"	"2008"	"Female"	"F"	3	1957878	Unreliable
	"2 years"	"2"	"2008"	"2008"	"Male"	"M"	8	2046268	Unreliable
"Total"	"2 years"	"2"	"2008"	"2008"			11	4004146	Unreliable
	"2 years"	"2"	"2009"	"2009"	"Female"	"F"	4	2005270	Unreliable
	"2 years"	"2"	"2009"	"2009"	"Male"	"M"	3	2097732	Unreliable
"Total"	"2 years"	"2"	"2009"	"2009"			7	4103002	Unreliable
	"2 years"	"2"	"2010"	"2010"	"Female"	"F"	8	2004731	Unreliable
	"2 years"	"2"	"2010"	"2010"	"Male"	"M"	3	2092198	Unreliable
"Total"	"2 years"	"2"	"2010"	"2010"			11	4096929	Unreliable
	"2 years"	"2"	"2011"	"2011"	"Female"	"F"	5	1944761	Unreliable
	"2 years"	"2"	"2011"	"2011"	"Male"	"M"	8	2026999	Unreliable
"Total"	"2 years"	"2"	"2011"	"2011"			13	3971760	Unreliable
	"2 years"	"2"	"2012"	"2012"	"Female"	"F"	3	1948274	Unreliable
	"2 years"	"2"	"2012"	"2012"	"Male"	"M"	5	2031683	Unreliable
"Total"	"2 years"	"2"	"2012"	"2012"			8	3979957	Unreliable
	"2 years"	"2"	"2013"	"2013"	"Female"	"F"	7	1948680	Unreliable
	"2 years"	"2"	"2013"	"2013"	"Male"	"M"	5	2040455	Unreliable
"Total"	"2 years"	"2"	"2013"	"2013"			12	3989135	Unreliable
	"2 years"	"2"	"2014"	"2014"	"Female"	"F"	6	1935270	Unreliable
	"2 years"	"2"	"2014"	"2014"	"Male"	"M"	9	2022502	Unreliable
"Total"	"2 years"	"2"	"2014"	"2014"			15	3957772	Unreliable
	"2 years"	"2"	"2015"	"2015"	"Female"	"F"	7	1939979	Unreliable
	"2 years"	"2"	"2015"	"2015"	"Male"	"M"	10	2026604	Unreliable
"Total"	"2 years"	"2"	"2015"	"2015"			17	3966583	Unreliable
	"2 years"	"2"	"2016"	"2016"	"Female"	"F"	8	1949132	Unreliable
	"2 years"	"2"	"2016"	"2016"	"Male"	"M"	6	2043022	Unreliable
"Total"	"2 years"	"2"	"2016"	"2016"			14	3992154	Unreliable
	"2 years"	"2"	"2017"	"2017"	"Female"	"F"	3	1965150	Unreliable
	"2 years"	"2"	"2017"	"2017"	"Male"	"M"	5	2056625	Unreliable
"Total"	"2 years"	"2"	"2017"	"2017"			8	4021775	Unreliable
	"2 years"	"2"	"2018"	"2018"	"Female"	"F"	3	1951366	Unreliable
	"2 years"	"2"	"2018"	"2018"	"Male"	"M"	8	2040071	Unreliable
"Total"	"2 years"	"2"	"2018"	"2018"			11	3991437	Unreliable
	"2 years"	"2"	"2019"	"2019"	"Female"	"F"	3	1916500	Unreliable
	"2 years"	"2"	"2019"	"2019"	"Male"	"M"	7	2005544	Unreliable
"Total"	"2 years"	"2"	"2019"	"2019"			10	3922044	Unreliable
"Total"	"2 years"	"2"					208	83076786	0.3
	"3 years"	"3"	"1999"	"1999"	"Female"	"F"	1	1868553	Unreliable
	"3 years"	"3"	"1999"	"1999"	"Male"	"M"	3	1956253	Unreliable
"Total"	"3 years"	"3"	"1999"	"1999"			4	3824806	Unreliable
	"3 years"	"3"	"2000"	"2000"	"Female"	"F"	0	1873836	Unreliable
	"3 years"	"3"	"2000"	"2000"	"Male"	"M"	3	1958963	Unreliable
"Total"	"3 years"	"3"	"2000"	"2000"			3	3832799	Unreliable
	"3 years"	"3"	"2001"	"2001"	"Female"	"F"	1	1857443	Unreliable
	"3 years"	"3"	"2001"	"2001"	"Male"	"M"	4	1945267	Unreliable
"Total"	"3 years"	"3"	"2001"	"2001"			5	3802710	Unreliable
	"3 years"	"3"	"2002"	"2002"	"Female"	"F"	4	1859439	Unreliable
	"3 years"	"3"	"2002"	"2002"	"Male"	"M"	2	1944897	Unreliable
"Total"	"3 years"	"3"	"2002"	"2002"			6	3804336	Unreliable
	"3 years"	"3"	"2003"	"2003"	"Female"	"F"	3	1885740	Unreliable
	"3 years"	"3"	"2003"	"2003"	"Male"	"M"	2	1974987	Unreliable
"Total"	"3 years"	"3"	"2003"	"2003"			5	3860727	Unreliable
	"3 years"	"3"	"2004"	"2004"	"Female"	"F"	0	1962287	Unreliable
	"3 years"	"3"	"2004"	"2004"	"Male"	"M"	2	2045933	Unreliable
"Total"	"3 years"	"3"	"2004"	"2004"			2	4008220	Unreliable
	"3 years"	"3"	"2005"	"2005"	"Female"	"F"	1	1930395	Unreliable
	"3 years"	"3"	"2005"	"2005"	"Male"	"M"	1	2012820	Unreliable
"Total"	"3 years"	"3"	"2005"	"2005"			2	3943215	Unreliable
	"3 years"	"3"	"2006"	"2006"	"Female"	"F"	2	1939447	Unreliable
	"3 years"	"3"	"2006"	"2006"	"Male"	"M"	5	2026575	Unreliable
"Total"	"3 years"	"3"	"2006"	"2006"			7	3966022	Unreliable
	"3 years"	"3"	"2007"	"2007"	"Female"	"F"	2	1958867	Unreliable
	"3 years"	"3"	"2007"	"2007"	"Male"	"M"	3	2045144	Unreliable
"Total"	"3 years"	"3"	"2007"	"2007"			5	4004011	Unreliable
	"3 years"	"3"	"2008"	"2008"	"Female"	"F"	5	1952383	Unreliable
	"3 years"	"3"	"2008"	"2008"	"Male"	"M"	5	2039937	Unreliable
"Total"	"3 years"	"3"	"2008"	"2008"			10	3992320	Unreliable
	"3 years"	"3"	"2009"	"2009"	"Female"	"F"	6	1969393	Unreliable
	"3 years"	"3"	"2009"	"2009"	"Male"	"M"	3	2056282	Unreliable
"Total"	"3 years"	"3"	"2009"	"2009"			9	4025675	Unreliable
	"3 years"	"3"	"2010"	"2010"	"Female"	"F"	1	2014490	Unreliable
	"3 years"	"3"	"2010"	"2010"	"Male"	"M"	3	2104550	Unreliable
"Total"	"3 years"	"3"	"2010"	"2010"			4	4119040	Unreliable
	"3 years"	"3"	"2011"	"2011"	"Female"	"F"	4	2007550	Unreliable
	"3 years"	"3"	"2011"	"2011"	"Male"	"M"	2	2094735	Unreliable
"Total"	"3 years"	"3"	"2011"	"2011"			6	4102285	Unreliable
	"3 years"	"3"	"2012"	"2012"	"Female"	"F"	3	1949929	Unreliable
	"3 years"	"3"	"2012"	"2012"	"Male"	"M"	2	2032511	Unreliable
"Total"	"3 years"	"3"	"2012"	"2012"			5	3982440	Unreliable
	"3 years"	"3"	"2013"	"2013"	"Female"	"F"	0	1953120	Unreliable
	"3 years"	"3"	"2013"	"2013"	"Male"	"M"	4	2036418	Unreliable
"Total"	"3 years"	"3"	"2013"	"2013"			4	3989538	Unreliable
	"3 years"	"3"	"2014"	"2014"	"Female"	"F"	1	1956572	Unreliable
	"3 years"	"3"	"2014"	"2014"	"Male"	"M"	4	2048618	Unreliable
"Total"	"3 years"	"3"	"2014"	"2014"			5	4005190	Unreliable
	"3 years"	"3"	"2015"	"2015"	"Female"	"F"	7	1943417	Unreliable
	"3 years"	"3"	"2015"	"2015"	"Male"	"M"	1	2030644	Unreliable
"Total"	"3 years"	"3"	"2015"	"2015"			8	3974061	Unreliable
	"3 years"	"3"	"2016"	"2016"	"Female"	"F"	1	1947408	Unreliable
	"3 years"	"3"	"2016"	"2016"	"Male"	"M"	5	2034666	Unreliable
"Total"	"3 years"	"3"	"2016"	"2016"			6	3982074	Unreliable
	"3 years"	"3"	"2017"	"2017"	"Female"	"F"	1	1956281	Unreliable
	"3 years"	"3"	"2017"	"2017"	"Male"	"M"	3	2050474	Unreliable
"Total"	"3 years"	"3"	"2017"	"2017"			4	4006755	Unreliable
	"3 years"	"3"	"2018"	"2018"	"Female"	"F"	1	1972327	Unreliable
	"3 years"	"3"	"2018"	"2018"	"Male"	"M"	5	2064235	Unreliable
"Total"	"3 years"	"3"	"2018"	"2018"			6	4036562	Unreliable
	"3 years"	"3"	"2019"	"2019"	"Female"	"F"	4	1955655	Unreliable
	"3 years"	"3"	"2019"	"2019"	"Male"	"M"	1	2043010	Unreliable
"Total"	"3 years"	"3"	"2019"	"2019"			5	3998665	Unreliable
"Total"	"3 years"	"3"					111	83261451	0.1
	"4 years"	"4"	"1999"	"1999"	"Female"	"F"	3	1926335	Unreliable
	"4 years"	"4"	"1999"	"1999"	"Male"	"M"	1	2020918	Unreliable
"Total"	"4 years"	"4"	"1999"	"1999"			4	3947253	Unreliable
	"4 years"	"4"	"2000"	"2000"	"Female"	"F"	1	1915665	Unreliable
	"4 years"	"4"	"2000"	"2000"	"Male"	"M"	3	2010658	Unreliable
"Total"	"4 years"	"4"	"2000"	"2000"			4	3926323	Unreliable
	"4 years"	"4"	"2001"	"2001"	"Female"	"F"	0	1871311	Unreliable
	"4 years"	"4"	"2001"	"2001"	"Male"	"M"	1	1956035	Unreliable
"Total"	"4 years"	"4"	"2001"	"2001"			1	3827346	Unreliable
	"4 years"	"4"	"2002"	"2002"	"Female"	"F"	7	1861887	Unreliable
	"4 years"	"4"	"2002"	"2002"	"Male"	"M"	2	1950720	Unreliable
"Total"	"4 years"	"4"	"2002"	"2002"			9	3812607	Unreliable
	"4 years"	"4"	"2003"	"2003"	"Female"	"F"	1	1864923	Unreliable
	"4 years"	"4"	"2003"	"2003"	"Male"	"M"	2	1951950	Unreliable
"Total"	"4 years"	"4"	"2003"	"2003"			3	3816873	Unreliable
	"4 years"	"4"	"2004"	"2004"	"Female"	"F"	1	1892670	Unreliable
	"4 years"	"4"	"2004"	"2004"	"Male"	"M"	2	1983939	Unreliable
"Total"	"4 years"	"4"	"2004"	"2004"			3	3876609	Unreliable
	"4 years"	"4"	"2005"	"2005"	"Female"	"F"	0	1971897	Unreliable
	"4 years"	"4"	"2005"	"2005"	"Male"	"M"	5	2058231	Unreliable
"Total"	"4 years"	"4"	"2005"	"2005"			5	4030128	Unreliable
	"4 years"	"4"	"2006"	"2006"	"Female"	"F"	2	1942684	Unreliable
	"4 years"	"4"	"2006"	"2006"	"Male"	"M"	2	2028196	Unreliable
"Total"	"4 years"	"4"	"2006"	"2006"			4	3970880	Unreliable
	"4 years"	"4"	"2007"	"2007"	"Female"	"F"	1	1953816	Unreliable
	"4 years"	"4"	"2007"	"2007"	"Male"	"M"	3	2044444	Unreliable
"Total"	"4 years"	"4"	"2007"	"2007"			4	3998260	Unreliable
	"4 years"	"4"	"2008"	"2008"	"Female"	"F"	5	1975431	Unreliable
	"4 years"	"4"	"2008"	"2008"	"Male"	"M"	1	2065739	Unreliable
"Total"	"4 years"	"4"	"2008"	"2008"			6	4041170	Unreliable
