"Notes"	"Single-Year Ages"	"Single-Year Ages Code"	"Year"	"Year Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate
"Total"	"1 year"	"1"	"2002"	"2002"			9	4004674	Unreliable
	"1 year"	"1"	"2003"	"2003"	"Female"	"F"	2	1926719	Unreliable
	"1 year"	"1"	"2003"	"2003"	"Male"	"M"	5	2009420	Unreliable
"Total"	"1 year"	"1"	"2003"	"2003"			7	3936139	Unreliable
	"1 year"	"1"	"2004"	"2004"	"Female"	"F"	5	1932894	Unreliable
	"1 year"	"1"	"2004"	"2004"	"Male"	"M"	3	2020169	Unreliable
"Total"	"1 year"	"1"	"2004"	"2004"			8	3953063	Unreliable
	"1 year"	"1"	"2005"	"2005"	"Female"	"F"	3	1950494	Unreliable
	"1 year"	"1"	"2005"	"2005"	"Male"	"M"	1	2036538	Unreliable
"Total"	"1 year"	"1"	"2005"	"2005"			4	3987032	Unreliable
	"1 year"	"1"	"2006"	"2006"	"Female"	"F"	2	1942541	Unreliable
	"1 year"	"1"	"2006"	"2006"	"Male"	"M"	1	2029583	Unreliable
"Total"	"1 year"	"1"	"2006"	"2006"			3	3972124	Unreliable
	"1 year"	"1"	"2007"	"2007"	"Female"	"F"	1	1958096	Unreliable
	"1 year"	"1"	"2007"	"2007"	"Male"	"M"	5	2044119	Unreliable
"Total"	"1 year"	"1"	"2007"	"2007"			6	4002215	Unreliable
	"1 year"	"1"	"2008"	"2008"	"Female"	"F"	5	2005602	Unreliable
	"1 year"	"1"	"2008"	"2008"	"Male"	"M"	2	2095154	Unreliable
"Total"	"1 year"	"1"	"2008"	"2008"			7	4100756	Unreliable
	"1 year"	"1"	"2009"	"2009"	"Female"	"F"	0	1997919	Unreliable
	"1 year"	"1"	"2009"	"2009"	"Male"	"M"	3	2080878	Unreliable
"Total"	"1 year"	"1"	"2009"	"2009"			3	4078797	Unreliable
	"1 year"	"1"	"2010"	"2010"	"Female"	"F"	4	1947217	Unreliable
	"1 year"	"1"	"2010"	"2010"	"Male"	"M"	6	2030853	Unreliable
"Total"	"1 year"	"1"	"2010"	"2010"			10	3978070	Unreliable
	"1 year"	"1"	"2011"	"2011"	"Female"	"F"	4	1941933	Unreliable
	"1 year"	"1"	"2011"	"2011"	"Male"	"M"	2	2027089	Unreliable
"Total"	"1 year"	"1"	"2011"	"2011"			6	3969022	Unreliable
	"1 year"	"1"	"2012"	"2012"	"Female"	"F"	2	1946097	Unreliable
	"1 year"	"1"	"2012"	"2012"	"Male"	"M"	6	2035426	Unreliable
"Total"	"1 year"	"1"	"2012"	"2012"			8	3981523	Unreliable
	"1 year"	"1"	"2013"	"2013"	"Female"	"F"	1	1933929	Unreliable
	"1 year"	"1"	"2013"	"2013"	"Male"	"M"	2	2022013	Unreliable
