"Notes"	"Single-Year Ages"	"Single-Year Ages Code"	"Year"	"Year Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate
	"< 1 year"	"0"	"1999"	"1999"	"Female"	"F"	0	1852123	Unreliable
	"< 1 year"	"0"	"1999"	"1999"	"Male"	"M"	0	1943639	Unreliable
"Total"	"< 1 year"	"0"	"1999"	"1999"			0	3795762	Unreliable
	"< 1 year"	"0"	"2000"	"2000"	"Female"	"F"	0	1856631	Unreliable
	"< 1 year"	"0"	"2000"	"2000"	"Male"	"M"	0	1949017	Unreliable
"Total"	"< 1 year"	"0"	"2000"	"2000"			0	3805648	Unreliable
	"< 1 year"	"0"	"2001"	"2001"	"Female"	"F"	0	1962905	Unreliable
	"< 1 year"	"0"	"2001"	"2001"	"Male"	"M"	0	2049753	Unreliable
"Total"	"< 1 year"	"0"	"2001"	"2001"			0	4012658	Unreliable
	"< 1 year"	"0"	"2002"	"2002"	"Female"	"F"	0	1932939	Unreliable
	"< 1 year"	"0"	"2002"	"2002"	"Male"	"M"	0	2018522	Unreliable
"Total"	"< 1 year"	"0"	"2002"	"2002"			0	3951461	Unreliable
	"< 1 year"	"0"	"2003"	"2003"	"Female"	"F"	0	1942634	Unreliable
	"< 1 year"	"0"	"2003"	"2003"	"Male"	"M"	0	2033237	Unreliable
"Total"	"< 1 year"	"0"	"2003"	"2003"			0	3975871	Unreliable
	"< 1 year"	"0"	"2004"	"2004"	"Female"	"F"	0	1962216	Unreliable
	"< 1 year"	"0"	"2004"	"2004"	"Male"	"M"	0	2052042	Unreliable
"Total"	"< 1 year"	"0"	"2004"	"2004"			0	4014258	Unreliable
	"< 1 year"	"0"	"2005"	"2005"	"Female"	"F"	0	1956682	Unreliable
	"< 1 year"	"0"	"2005"	"2005"	"Male"	"M"	0	2047711	Unreliable
"Total"	"< 1 year"	"0"	"2005"	"2005"			0	4004393	Unreliable
	"< 1 year"	"0"	"2006"	"2006"	"Female"	"F"	0	1975919	Unreliable
	"< 1 year"	"0"	"2006"	"2006"	"Male"	"M"	0	2065819	Unreliable
"Total"	"< 1 year"	"0"	"2006"	"2006"			0	4041738	Unreliable
	"< 1 year"	"0"	"2007"	"2007"	"Female"	"F"	0	2027181	Unreliable
	"< 1 year"	"0"	"2007"	"2007"	"Male"	"M"	0	2120816	Unreliable
"Total"	"< 1 year"	"0"	"2007"	"2007"			0	4147997	Unreliable
	"< 1 year"	"0"	"2008"	"2008"	"Female"	"F"	0	2022889	Unreliable
	"< 1 year"	"0"	"2008"	"2008"	"Male"	"M"	0	2109846	Unreliable
"Total"	"< 1 year"	"0"	"2008"	"2008"			0	4132735	Unreliable
	"< 1 year"	"0"	"2009"	"2009"	"Female"	"F"	0	1959169	Unreliable
	"< 1 year"	"0"	"2009"	"2009"	"Male"	"M"	0	2044418	Unreliable
"Total"	"< 1 year"	"0"	"2009"	"2009"			0	4003587	Unreliable
	"< 1 year"	"0"	"2010"	"2010"	"Female"	"F"	0	1929877	Unreliable
	"< 1 year"	"0"	"2010"	"2010"	"Male"	"M"	0	2014276	Unreliable
"Total"	"< 1 year"	"0"	"2010"	"2010"			0	3944153	Unreliable
	"< 1 year"	"0"	"2011"	"2011"	"Female"	"F"	0	1952827	Unreliable
	"< 1 year"	"0"	"2011"	"2011"	"Male"	"M"	0	2043710	Unreliable
