"Notes"	"Single-Year Ages"	"Single-Year Ages Code"	"Year"	"Year Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate
	"1 year"	"1"	"2002"	"2002"	"Male"	"M"	1	2044479	Unreliable
"Total"	"1 year"	"1"	"2002"	"2002"			2	4004674	Unreliable
	"1 year"	"1"	"2003"	"2003"	"Female"	"F"	0	1926719	Unreliable
	"1 year"	"1"	"2003"	"2003"	"Male"	"M"	0	2009420	Unreliable
"Total"	"1 year"	"1"	"2003"	"2003"			0	3936139	Unreliable
	"1 year"	"1"	"2004"	"2004"	"Female"	"F"	0	1932894	Unreliable
	"1 year"	"1"	"2004"	"2004"	"Male"	"M"	0	2020169	Unreliable
"Total"	"1 year"	"1"	"2004"	"2004"			0	3953063	Unreliable
	"1 year"	"1"	"2005"	"2005"	"Female"	"F"	0	1950494	Unreliable
	"1 year"	"1"	"2005"	"2005"	"Male"	"M"	1	2036538	Unreliable
"Total"	"1 year"	"1"	"2005"	"2005"			1	3987032	Unreliable
	"1 year"	"1"	"2006"	"2006"	"Female"	"F"	0	1942541	Unreliable
	"1 year"	"1"	"2006"	"2006"	"Male"	"M"	1	2029583	Unreliable
"Total"	"1 year"	"1"	"2006"	"2006"			1	3972124	Unreliable
	"1 year"	"1"	"2007"	"2007"	"Female"	"F"	1	1958096	Unreliable
	"1 year"	"1"	"2007"	"2007"	"Male"	"M"	0	2044119	Unreliable
"Total"	"1 year"	"1"	"2007"	"2007"			1	4002215	Unreliable
	"1 year"	"1"	"2008"	"2008"	"Female"	"F"	0	2005602	Unreliable
	"1 year"	"1"	"2008"	"2008"	"Male"	"M"	0	2095154	Unreliable
"Total"	"1 year"	"1"	"2008"	"2008"			0	4100756	Unreliable
	"1 year"	"1"	"2009"	"2009"	"Female"	"F"	0	1997919	Unreliable
	"1 year"	"1"	"2009"	"2009"	"Male"	"M"	0	2080878	Unreliable
"Total"	"1 year"	"1"	"2009"	"2009"			0	4078797	Unreliable
	"1 year"	"1"	"2010"	"2010"	"Female"	"F"	0	1947217	Unreliable
	"1 year"	"1"	"2010"	"2010"	"Male"	"M"	1	2030853	Unreliable
"Total"	"1 year"	"1"	"2010"	"2010"			1	3978070	Unreliable
	"1 year"	"1"	"2011"	"2011"	"Female"	"F"	0	1941933	Unreliable
	"1 year"	"1"	"2011"	"2011"	"Male"	"M"	1	2027089	Unreliable
"Total"	"1 year"	"1"	"2011"	"2011"			1	3969022	Unreliable
	"1 year"	"1"	"2012"	"2012"	"Female"	"F"	0	1946097	Unreliable
	"1 year"	"1"	"2012"	"2012"	"Male"	"M"	0	2035426	Unreliable
"Total"	"1 year"	"1"	"2012"	"2012"			0	3981523	Unreliable
	"1 year"	"1"	"2013"	"2013"	"Female"	"F"	0	1933929	Unreliable
	"1 year"	"1"	"2013"	"2013"	"Male"	"M"	2	2022013	Unreliable
"Total"	"1 year"	"1"	"2013"	"2013"			2	3955942	Unreliable
	"1 year"	"1"	"2014"	"2014"	"Female"	"F"	0	1938870	Unreliable
	"1 year"	"1"	"2014"	"2014"	"Male"	"M"	1	2023253	Unreliable
"Total"	"1 year"	"1"	"2014"	"2014"			1	3962123	Unreliable
	"1 year"	"1"	"2015"	"2015"	"Female"	"F"	0	1939269	Unreliable
	"1 year"	"1"	"2015"	"2015"	"Male"	"M"	1	2029295	Unreliable
"Total"	"1 year"	"1"	"2015"	"2015"			1	3968564	Unreliable
	"1 year"	"1"	"2016"	"2016"	"Female"	"F"	1	1953850	Unreliable
	"1 year"	"1"	"2016"	"2016"	"Male"	"M"	0	2041158	Unreliable
"Total"	"1 year"	"1"	"2016"	"2016"			1	3995008	Unreliable
	"1 year"	"1"	"2017"	"2017"	"Female"	"F"	0	1943534	Unreliable
	"1 year"	"1"	"2017"	"2017"	"Male"	"M"	1	2031718	Unreliable
"Total"	"1 year"	"1"	"2017"	"2017"			1	3975252	Unreliable
	"1 year"	"1"	"2018"	"2018"	"Female"	"F"	0	1911513	Unreliable
	"1 year"	"1"	"2018"	"2018"	"Male"	"M"	0	2001387	Unreliable
"Total"	"1 year"	"1"	"2018"	"2018"			0	3912900	Unreliable
	"1 year"	"1"	"2019"	"2019"	"Female"	"F"	0	1871014	Unreliable
	"1 year"	"1"	"2019"	"2019"	"Male"	"M"	0	1958585	Unreliable
"Total"	"1 year"	"1"	"2019"	"2019"			0	3829599	Unreliable
"Total"	"1 year"	"1"					13	83023880	Unreliable
	"2 years"	"2"	"1999"	"1999"	"Female"	"F"	1	1849556	Unreliable
	"2 years"	"2"	"1999"	"1999"	"Male"	"M"	0	1933079	Unreliable
"Total"	"2 years"	"2"	"1999"	"1999"			1	3782635	Unreliable
	"2 years"	"2"	"2000"	"2000"	"Female"	"F"	2	1851456	Unreliable
	"2 years"	"2"	"2000"	"2000"	"Male"	"M"	1	1938990	Unreliable
"Total"	"2 years"	"2"	"2000"	"2000"			3	3790446	Unreliable
	"2 years"	"2"	"2001"	"2001"	"Female"	"F"	0	1857181	Unreliable
	"2 years"	"2"	"2001"	"2001"	"Male"	"M"	0	1942915	Unreliable
"Total"	"2 years"	"2"	"2001"	"2001"			0	3800096	Unreliable
	"2 years"	"2"	"2002"	"2002"	"Female"	"F"	0	1883190	Unreliable
	"2 years"	"2"	"2002"	"2002"	"Male"	"M"	0	1972924	Unreliable
"Total"	"2 years"	"2"	"2002"	"2002"			0	3856114	Unreliable
	"2 years"	"2"	"2003"	"2003"	"Female"	"F"	0	1959311	Unreliable
	"2 years"	"2"	"2003"	"2003"	"Male"	"M"	0	2043525	Unreliable
"Total"	"2 years"	"2"	"2003"	"2003"			0	4002836	Unreliable
	"2 years"	"2"	"2004"	"2004"	"Female"	"F"	1	1925324	Unreliable
	"2 years"	"2"	"2004"	"2004"	"Male"	"M"	0	2008411	Unreliable
"Total"	"2 years"	"2"	"2004"	"2004"			1	3933735	Unreliable
	"2 years"	"2"	"2005"	"2005"	"Female"	"F"	0	1932337	Unreliable
	"2 years"	"2"	"2005"	"2005"	"Male"	"M"	0	2020295	Unreliable
"Total"	"2 years"	"2"	"2005"	"2005"			0	3952632	Unreliable
	"2 years"	"2"	"2006"	"2006"	"Female"	"F"	0	1950420	Unreliable
	"2 years"	"2"	"2006"	"2006"	"Male"	"M"	1	2037699	Unreliable
"Total"	"2 years"	"2"	"2006"	"2006"			1	3988119	Unreliable
	"2 years"	"2"	"2007"	"2007"	"Female"	"F"	1	1942309	Unreliable
	"2 years"	"2"	"2007"	"2007"	"Male"	"M"	2	2031170	Unreliable
"Total"	"2 years"	"2"	"2007"	"2007"			3	3973479	Unreliable
	"2 years"	"2"	"2008"	"2008"	"Female"	"F"	0	1957878	Unreliable
	"2 years"	"2"	"2008"	"2008"	"Male"	"M"	0	2046268	Unreliable
"Total"	"2 years"	"2"	"2008"	"2008"			0	4004146	Unreliable
	"2 years"	"2"	"2009"	"2009"	"Female"	"F"	0	2005270	Unreliable
	"2 years"	"2"	"2009"	"2009"	"Male"	"M"	1	2097732	Unreliable
"Total"	"2 years"	"2"	"2009"	"2009"			1	4103002	Unreliable
	"2 years"	"2"	"2010"	"2010"	"Female"	"F"	0	2004731	Unreliable
	"2 years"	"2"	"2010"	"2010"	"Male"	"M"	0	2092198	Unreliable
"Total"	"2 years"	"2"	"2010"	"2010"			0	4096929	Unreliable
	"2 years"	"2"	"2011"	"2011"	"Female"	"F"	0	1944761	Unreliable
	"2 years"	"2"	"2011"	"2011"	"Male"	"M"	0	2026999	Unreliable
"Total"	"2 years"	"2"	"2011"	"2011"			0	3971760	Unreliable
	"2 years"	"2"	"2012"	"2012"	"Female"	"F"	0	1948274	Unreliable
	"2 years"	"2"	"2012"	"2012"	"Male"	"M"	1	2031683	Unreliable
"Total"	"2 years"	"2"	"2012"	"2012"			1	3979957	Unreliable
	"2 years"	"2"	"2013"	"2013"	"Female"	"F"	0	1948680	Unreliable
	"2 years"	"2"	"2013"	"2013"	"Male"	"M"	0	2040455	Unreliable
"Total"	"2 years"	"2"	"2013"	"2013"			0	3989135	Unreliable
	"2 years"	"2"	"2014"	"2014"	"Female"	"F"	0	1935270	Unreliable
	"2 years"	"2"	"2014"	"2014"	"Male"	"M"	0	2022502	Unreliable
"Total"	"2 years"	"2"	"2014"	"2014"			0	3957772	Unreliable
	"2 years"	"2"	"2015"	"2015"	"Female"	"F"	0	1939979	Unreliable
	"2 years"	"2"	"2015"	"2015"	"Male"	"M"	0	2026604	Unreliable
"Total"	"2 years"	"2"	"2015"	"2015"			0	3966583	Unreliable
	"2 years"	"2"	"2016"	"2016"	"Female"	"F"	0	1949132	Unreliable
	"2 years"	"2"	"2016"	"2016"	"Male"	"M"	1	2043022	Unreliable
"Total"	"2 years"	"2"	"2016"	"2016"			1	3992154	Unreliable
	"2 years"	"2"	"2017"	"2017"	"Female"	"F"	0	1965150	Unreliable
	"2 years"	"2"	"2017"	"2017"	"Male"	"M"	1	2056625	Unreliable
"Total"	"2 years"	"2"	"2017"	"2017"			1	4021775	Unreliable
	"2 years"	"2"	"2018"	"2018"	"Female"	"F"	0	1951366	Unreliable
	"2 years"	"2"	"2018"	"2018"	"Male"	"M"	1	2040071	Unreliable
"Total"	"2 years"	"2"	"2018"	"2018"			1	3991437	Unreliable
	"2 years"	"2"	"2019"	"2019"	"Female"	"F"	0	1916500	Unreliable
	"2 years"	"2"	"2019"	"2019"	"Male"	"M"	0	2005544	Unreliable
"Total"	"2 years"	"2"	"2019"	"2019"			0	3922044	Unreliable
"Total"	"2 years"	"2"					14	83076786	Unreliable
	"3 years"	"3"	"1999"	"1999"	"Female"	"F"	1	1868553	Unreliable
	"3 years"	"3"	"1999"	"1999"	"Male"	"M"	0	1956253	Unreliable
"Total"	"3 years"	"3"	"1999"	"1999"			1	3824806	Unreliable
	"3 years"	"3"	"2000"	"2000"	"Female"	"F"	0	1873836	Unreliable
	"3 years"	"3"	"2000"	"2000"	"Male"	"M"	0	1958963	Unreliable
"Total"	"3 years"	"3"	"2000"	"2000"			0	3832799	Unreliable
	"3 years"	"3"	"2001"	"2001"	"Female"	"F"	0	1857443	Unreliable
	"3 years"	"3"	"2001"	"2001"	"Male"	"M"	0	1945267	Unreliable
"Total"	"3 years"	"3"	"2001"	"2001"			0	3802710	Unreliable
	"3 years"	"3"	"2002"	"2002"	"Female"	"F"	1	1859439	Unreliable
	"3 years"	"3"	"2002"	"2002"	"Male"	"M"	0	1944897	Unreliable
"Total"	"3 years"	"3"	"2002"	"2002"			1	3804336	Unreliable
	"3 years"	"3"	"2003"	"2003"	"Female"	"F"	0	1885740	Unreliable
	"3 years"	"3"	"2003"	"2003"	"Male"	"M"	0	1974987	Unreliable
"Total"	"3 years"	"3"	"2003"	"2003"			0	3860727	Unreliable
	"3 years"	"3"	"2004"	"2004"	"Female"	"F"	0	1962287	Unreliable
	"3 years"	"3"	"2004"	"2004"	"Male"	"M"	0	2045933	Unreliable
"Total"	"3 years"	"3"	"2004"	"2004"			0	4008220	Unreliable
	"3 years"	"3"	"2005"	"2005"	"Female"	"F"	0	1930395	Unreliable
	"3 years"	"3"	"2005"	"2005"	"Male"	"M"	0	2012820	Unreliable
"Total"	"3 years"	"3"	"2005"	"2005"			0	3943215	Unreliable
	"3 years"	"3"	"2006"	"2006"	"Female"	"F"	0	1939447	Unreliable
	"3 years"	"3"	"2006"	"2006"	"Male"	"M"	1	2026575	Unreliable
"Total"	"3 years"	"3"	"2006"	"2006"			1	3966022	Unreliable
	"3 years"	"3"	"2007"	"2007"	"Female"	"F"	0	1958867	Unreliable
	"3 years"	"3"	"2007"	"2007"	"Male"	"M"	0	2045144	Unreliable
"Total"	"3 years"	"3"	"2007"	"2007"			0	4004011	Unreliable
	"3 years"	"3"	"2008"	"2008"	"Female"	"F"	0	1952383	Unreliable
	"3 years"	"3"	"2008"	"2008"	"Male"	"M"	0	2039937	Unreliable
"Total"	"3 years"	"3"	"2008"	"2008"			0	3992320	Unreliable
	"3 years"	"3"	"2009"	"2009"	"Female"	"F"	1	1969393	Unreliable
	"3 years"	"3"	"2009"	"2009"	"Male"	"M"	0	2056282	Unreliable
"Total"	"3 years"	"3"	"2009"	"2009"			1	4025675	Unreliable
	"3 years"	"3"	"2010"	"2010"	"Female"	"F"	1	2014490	Unreliable
	"3 years"	"3"	"2010"	"2010"	"Male"	"M"	0	2104550	Unreliable
"Total"	"3 years"	"3"	"2010"	"2010"			1	4119040	Unreliable
	"3 years"	"3"	"2011"	"2011"	"Female"	"F"	0	2007550	Unreliable
	"3 years"	"3"	"2011"	"2011"	"Male"	"M"	0	2094735	Unreliable
"Total"	"3 years"	"3"	"2011"	"2011"			0	4102285	Unreliable
	"3 years"	"3"	"2012"	"2012"	"Female"	"F"	1	1949929	Unreliable
	"3 years"	"3"	"2012"	"2012"	"Male"	"M"	0	2032511	Unreliable
"Total"	"3 years"	"3"	"2012"	"2012"			1	3982440	Unreliable
	"3 years"	"3"	"2013"	"2013"	"Female"	"F"	1	1953120	Unreliable
